id,sku,slug,name,name_ascii,price_vnd,price_usd,currency,category_id,category_label,active_ingredient,badge,image_url,image_local,detail_url,source,scraped_at
11,VKD-011,tra-sam-ngoc-linh,Trà Sâm Ngọc Linh,Tra Sam Ngoc Linh,345000,13.53,VND,tea_wine,Trà & Đồ Uống Sâm,Lát sâm Ngọc Linh sấy khô,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/tra.png,images/11-tra-sam-ngoc-linh.png,https://samngoclinhvkdgroup.com/san-pham/tra-sam-ngoc-linh/,samngoclinhvkdgroup.com,2026-07-17
12,VKD-012,set-5-lon-nuoc-tang-luc-5-vi,Set 5 Lon Nước Tăng Lực (5 Vị),Set 5 Lon Nuoc Tang Luc (5 Vi),130000,5.1,VND,tea_wine,Trà & Đồ Uống Sâm,Saponin MR2 + Taurine + Vitamin B,Ngũ Hành,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-5.png,images/12-set-5-lon-nuoc-tang-luc-5-vi.png,https://samngoclinhvkdgroup.com/san-pham/set-5-lon-nuoc-tang-luc-5-vi/,samngoclinhvkdgroup.com,2026-07-17
13,VKD-013,panaxx-ban-kim-325ml,PanaxX – Bản Kim 325ml,PanaxX – Ban Kim 325ml,26000,1.02,VND,tea_wine,Trà & Đồ Uống Sâm,"Sâm Ngọc Linh 0,05% — Hương Xoài",,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/kim.png,images/13-panaxx-ban-kim-325ml.png,https://samngoclinhvkdgroup.com/san-pham/panaxx-ban-kim-325ml/,samngoclinhvkdgroup.com,2026-07-17
14,VKD-014,panaxx-ban-moc-325ml,PanaxX – Bản Mộc 325ml,PanaxX – Ban Moc 325ml,26000,1.02,VND,tea_wine,Trà & Đồ Uống Sâm,"Sâm Ngọc Linh 0,05% — Hương Dưa Gang",,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/moc.png,images/14-panaxx-ban-moc-325ml.png,https://samngoclinhvkdgroup.com/san-pham/panaxx-ban-moc-325ml/,samngoclinhvkdgroup.com,2026-07-17
15,VKD-015,panaxx-ban-thuy-325ml,PanaxX – Bản Thuỷ 325ml,PanaxX – Ban Thuy 325ml,26000,1.02,VND,tea_wine,Trà & Đồ Uống Sâm,"Sâm Ngọc Linh 0,05% — Hương Chanh Dây",,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/thuy.png,images/15-panaxx-ban-thuy-325ml.png,https://samngoclinhvkdgroup.com/san-pham/panaxx-ban-thuy-325ml/,samngoclinhvkdgroup.com,2026-07-17
16,VKD-016,panaxx-ban-hoa-325ml,PanaxX – Bản Hoả 325ml,PanaxX – Ban Hoa 325ml,26000,1.02,VND,tea_wine,Trà & Đồ Uống Sâm,"Sâm Ngọc Linh 0,05% — Hương Ổi Hồng",,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/hoa.png,images/16-panaxx-ban-hoa-325ml.png,https://samngoclinhvkdgroup.com/san-pham/panaxx-ban-hoa-325ml/,samngoclinhvkdgroup.com,2026-07-17
17,VKD-017,ruou-ngoc-de-thien-huong-750ml,Rượu Ngọc Đế -Thiên Hương 750ml,Ruou Ngoc Đe -Thien Huong 750ml,1750000,68.63,VND,tea_wine,Trà & Đồ Uống Sâm,Sâm Ngọc Linh ngâm ủ truyền thống,Cao cấp,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/Ruoungocde2.png,images/17-ruou-ngoc-de-thien-huong-750ml.png,https://samngoclinhvkdgroup.com/san-pham/ruou-ngoc-de-thien-huong-750ml/,samngoclinhvkdgroup.com,2026-07-17
18,VKD-018,ruou-ngoc-de-sam-ngoc-linh-12-nam-500ml,Rượu Ngọc Đế Sâm Ngọc Linh 12 năm – 500ml,Ruou Ngoc Đe Sam Ngoc Linh 12 nam – 500ml,1118000,43.84,VND,tea_wine,Trà & Đồ Uống Sâm,Sâm 12 năm tuổi + Hồng Sâm + Tam Thất,12 năm,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/ruou-sam-12-nam.png,images/18-ruou-ngoc-de-sam-ngoc-linh-12-nam-500ml.png,https://samngoclinhvkdgroup.com/san-pham/ruou-ngoc-de-sam-ngoc-linh-12-nam-500ml/,samngoclinhvkdgroup.com,2026-07-17
19,VKD-019,ruou-ngoc-de-sam-ngoc-linh-10-nam-500ml,Rượu Ngọc Đế Sâm Ngọc Linh 10 năm – 500ml,Ruou Ngoc Đe Sam Ngoc Linh 10 nam – 500ml,980000,38.43,VND,tea_wine,Trà & Đồ Uống Sâm,Sâm 10 năm tuổi — chưng cất châu Âu,10 năm,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/ruou-sam-10-nam.png,images/19-ruou-ngoc-de-sam-ngoc-linh-10-nam-500ml.png,https://samngoclinhvkdgroup.com/san-pham/ruou-ngoc-de-sam-ngoc-linh-10-nam-500ml/,samngoclinhvkdgroup.com,2026-07-17
20,VKD-020,ruou-ngoc-de-thang-long-chai-cao-500ml,Rượu Ngọc Đế – Thăng Long (Chai cao) 500ml,Ruou Ngoc Đe – Thang Long (Chai cao) 500ml,860000,33.73,VND,tea_wine,Trà & Đồ Uống Sâm,Sâm Ngọc Linh 8+ năm tuổi,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/Ruoungocde3.png,images/20-ruou-ngoc-de-thang-long-chai-cao-500ml.png,https://samngoclinhvkdgroup.com/san-pham/ruou-ngoc-de-thang-long-chai-cao-500ml/,samngoclinhvkdgroup.com,2026-07-17
21,VKD-021,ruou-ngoc-de-thang-long-chai-thap-500ml,Rượu Ngọc Đế – Thăng Long (Chai thấp) 500ml,Ruou Ngoc Đe – Thang Long (Chai thap) 500ml,860000,33.73,VND,tea_wine,Trà & Đồ Uống Sâm,Sâm Ngọc Linh 8+ năm tuổi,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/Ruoungocde1.png,images/21-ruou-ngoc-de-thang-long-chai-thap-500ml.png,https://samngoclinhvkdgroup.com/san-pham/ruou-ngoc-de-thang-long-chai-thap-500ml/,samngoclinhvkdgroup.com,2026-07-17
22,VKD-022,ruou-ngoc-de-sam-ngoc-linh-normal-500ml,Rượu Ngọc Đế Sâm Ngọc Linh Normal 500ml,Ruou Ngoc Đe Sam Ngoc Linh Normal 500ml,585000,22.94,VND,tea_wine,Trà & Đồ Uống Sâm,Sâm Ngọc Linh 8+ năm + Tam Thất + Câu Kỉ,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/ruou-sam-normal.png,images/22-ruou-ngoc-de-sam-ngoc-linh-normal-500ml.png,https://samngoclinhvkdgroup.com/san-pham/ruou-ngoc-de-sam-ngoc-linh-normal-500ml/,samngoclinhvkdgroup.com,2026-07-17
23,VKD-023,ruou-sam-ngoc-linh-xe-dang,Rượu Sâm Ngọc Linh Xê Đăng,Ruou Sam Ngoc Linh Xe Đang,690000,27.06,VND,tea_wine,Trà & Đồ Uống Sâm,Sâm Ngọc Linh + Dược liệu quý,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-4.png,images/23-ruou-sam-ngoc-linh-xe-dang.png,https://samngoclinhvkdgroup.com/san-pham/ruou-sam-ngoc-linh-xe-dang/,samngoclinhvkdgroup.com,2026-07-17
24,VKD-024,ruou-sam-ngoc-linh-19-5-do,Rượu Sâm Ngọc Linh 19.5 Độ,Ruou Sam Ngoc Linh 19.5 Đo,370000,14.51,VND,tea_wine,Trà & Đồ Uống Sâm,Sâm Ngọc Linh 8+ năm — 19.5°,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-2.png,images/24-ruou-sam-ngoc-linh-19-5-do.png,https://samngoclinhvkdgroup.com/san-pham/ruou-sam-ngoc-linh-19-5-do/,samngoclinhvkdgroup.com,2026-07-17
25,VKD-025,combo-2-chai-ruou-sam-ngoc-linh-19-5-do,Combo 2 Chai Rượu Sâm Ngọc Linh 19.5 Độ,Combo 2 Chai Ruou Sam Ngoc Linh 19.5 Đo,715000,28.04,VND,tea_wine,Trà & Đồ Uống Sâm,Combo 2 chai — tiết kiệm,Combo,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-3.png,images/25-combo-2-chai-ruou-sam-ngoc-linh-19-5-do.png,https://samngoclinhvkdgroup.com/san-pham/combo-2-chai-ruou-sam-ngoc-linh-19-5-do/,samngoclinhvkdgroup.com,2026-07-17
26,VKD-026,ruou-ngoc-de-pho-thong-300ml,Rượu Ngọc Đế Phổ Thông 300ml,Ruou Ngoc Đe Pho Thong 300ml,200000,7.84,VND,tea_wine,Trà & Đồ Uống Sâm,Sâm Ngọc Linh ngâm ủ,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-1.png,images/26-ruou-ngoc-de-pho-thong-300ml.png,https://samngoclinhvkdgroup.com/san-pham/ruou-ngoc-de-pho-thong-300ml/,samngoclinhvkdgroup.com,2026-07-17
27,VKD-027,ruou-kim-boi,Rượu Kim Bôi,Ruou Kim Boi,72000,2.82,VND,tea_wine,Trà & Đồ Uống Sâm,Rượu gạo truyền thống + Sâm Ngọc Linh,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/Ruoungocde.png,images/27-ruou-kim-boi.png,https://samngoclinhvkdgroup.com/san-pham/ruou-kim-boi/,samngoclinhvkdgroup.com,2026-07-17
28,VKD-028,men-kim-boi,Men Kim Bôi,Men Kim Boi,80000,3.14,VND,tea_wine,Trà & Đồ Uống Sâm,36 vị thuốc bắc — men rượu truyền thống,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-1-1.png,images/28-men-kim-boi.png,https://samngoclinhvkdgroup.com/san-pham/men-kim-boi/,samngoclinhvkdgroup.com,2026-07-17
29,VKD-029,bo-tre-hoa-combo-big-size,Bộ Trẻ Hóa Combo (Big Size),Bo Tre Hoa Combo (Big Size),8760000,343.53,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Sâm Ngọc Linh + PCG (Tam Thất + Đông Trùng + Linh Chi),Combo Premium,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-15.png,images/29-bo-tre-hoa-combo-big-size.png,https://samngoclinhvkdgroup.com/san-pham/bo-tre-hoa-combo-big-size/,samngoclinhvkdgroup.com,2026-07-17
30,VKD-030,bo-phuc-hoi-da,Bộ phục hồi da,Bo phuc hoi da,3230000,126.67,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Chiết xuất sâm Ngọc Linh PN’s Choice,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham.png,images/30-bo-phuc-hoi-da.png,https://samngoclinhvkdgroup.com/san-pham/bo-phuc-hoi-da/,samngoclinhvkdgroup.com,2026-07-17
31,VKD-031,nuoc-tre-hoa-da-purely-refreshing,Nước Trẻ Hóa Da (Purely Refreshing),Nuoc Tre Hoa Da (Purely Refreshing),3470000,136.08,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Gold Water + Saponin cô đặc,Nước thần,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-13.png,images/31-nuoc-tre-hoa-da-purely-refreshing.png,https://samngoclinhvkdgroup.com/san-pham/nuoc-tre-hoa-da-purely-refreshing/,samngoclinhvkdgroup.com,2026-07-17
32,VKD-032,bo-tre-hoa-da-combo-mini-size,Bộ Trẻ Hóa Da Combo (Mini Size),Bo Tre Hoa Da Combo (Mini Size),1850000,72.55,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Combo 4 sản phẩm PN’s Choice,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-14.png,images/32-bo-tre-hoa-da-combo-mini-size.png,https://samngoclinhvkdgroup.com/san-pham/bo-tre-hoa-da-combo-mini-size/,samngoclinhvkdgroup.com,2026-07-17
33,VKD-033,kem-duong-ban-dem-night-cream,Kem Dưỡng Ban Đêm (Night Cream),Kem Duong Ban Đem (Night Cream),1900000,74.51,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Advanced Night Repair + Sâm Ngọc Linh,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-11.png,images/33-kem-duong-ban-dem-night-cream.png,https://samngoclinhvkdgroup.com/san-pham/kem-duong-ban-dem-night-cream/,samngoclinhvkdgroup.com,2026-07-17
34,VKD-034,serum-duong-da-serum,Serum Dưỡng Da (Serum),Serum Duong Da (Serum),1780000,69.8,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Power Rejuvenation Serum + Saponin,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-12.png,images/34-serum-duong-da-serum.png,https://samngoclinhvkdgroup.com/san-pham/serum-duong-da-serum/,samngoclinhvkdgroup.com,2026-07-17
35,VKD-035,kem-duong-ban-ngay-day-cream,Kem Dưỡng Ban Ngày (Day Cream),Kem Duong Ban Ngay (Day Cream),1580000,61.96,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Advanced Day Repair + Sâm Ngọc Linh,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-11.png,images/35-kem-duong-ban-ngay-day-cream.png,https://samngoclinhvkdgroup.com/san-pham/kem-duong-ban-ngay-day-cream/,samngoclinhvkdgroup.com,2026-07-17
36,VKD-036,kem-mat-eyes-cream,Kem Mắt (Eyes Cream),Kem Mat (Eyes Cream),1150000,45.1,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Active Intensive Eye Cream + Sâm,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-17.png,images/36-kem-mat-eyes-cream.png,https://samngoclinhvkdgroup.com/san-pham/kem-mat-eyes-cream/,samngoclinhvkdgroup.com,2026-07-17
37,VKD-037,kem-duong-ban-dem-night-cream-pn-s,Kem Dưỡng Ban Đêm (Night Cream) — Pn’s,Kem Duong Ban Đem (Night Cream) — Pn’s,780000,30.59,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Micellar Repair Night — Saponin cô đặc,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-22.png,images/37-kem-duong-ban-dem-night-cream-pn-s.png,https://samngoclinhvkdgroup.com/san-pham/kem-ban-dem-night-cream/,samngoclinhvkdgroup.com,2026-07-17
38,VKD-038,kem-chong-nang-daily-uv,Kem Chống Nắng (Daily UV),Kem Chong Nang (Daily UV),850000,33.33,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,SPF 50 PA++++ + Sâm Ngọc Linh,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-10.png,images/38-kem-chong-nang-daily-uv.png,https://samngoclinhvkdgroup.com/san-pham/kem-chong-nang-daily-uv/,samngoclinhvkdgroup.com,2026-07-17
39,VKD-039,nuoc-duong-da-micellar-serum,Nước Dưỡng Da (Micellar Serum),Nuoc Duong Da (Micellar Serum),850000,33.33,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Micellar Repair Serum — Saponin,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-18.png,images/39-nuoc-duong-da-micellar-serum.png,https://samngoclinhvkdgroup.com/san-pham/nuoc-duong-da-micellar-serum/,samngoclinhvkdgroup.com,2026-07-17
40,VKD-040,kem-ban-ngay-day-cream-pn-s,Kem Ban Ngày (Day Cream) — Pn’s,Kem Ban Ngay (Day Cream) — Pn’s,580000,22.75,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Micellar Repair Day + Sâm Ngọc Linh,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-21.png,images/40-kem-ban-ngay-day-cream-pn-s.png,https://samngoclinhvkdgroup.com/san-pham/kem-ban-ngay-day-cream/,samngoclinhvkdgroup.com,2026-07-17
41,VKD-041,nuoc-can-bang-micellar-toner,Nước Cân Bằng (Micellar Toner),Nuoc Can Bang (Micellar Toner),560000,21.96,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Micellar Repair Toner — Saponin,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-19.png,images/41-nuoc-can-bang-micellar-toner.png,https://samngoclinhvkdgroup.com/san-pham/nuoc-can-bang-micellar-toner/,samngoclinhvkdgroup.com,2026-07-17
42,VKD-042,sua-rua-mat-micellar-cleaner,Sữa Rửa Mặt (Micellar Cleaner),Sua Rua Mat (Micellar Cleaner),450000,17.65,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Micellar Repair Cleaner + Sâm,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-20.png,images/42-sua-rua-mat-micellar-cleaner.png,https://samngoclinhvkdgroup.com/san-pham/sua-rua-mat-micellar-cleaner/,samngoclinhvkdgroup.com,2026-07-17
43,VKD-043,mat-na-duong-da-face-mask-5-mieng,Mặt Nạ Dưỡng Da (Face Mask) 5 Miếng,Mat Na Duong Da (Face Mask) 5 Mieng,250000,9.8,VND,cosmetics,Mỹ Phẩm & Làm Đẹp,Rejuvenating Face Mask + Sâm Ngọc Linh,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-16.png,images/43-mat-na-duong-da-face-mask-5-mieng.png,https://samngoclinhvkdgroup.com/san-pham/mat-na-duong-da-face-mask-5-mieng/,samngoclinhvkdgroup.com,2026-07-17
